fips_code,state,county,muni,first_year_range,equip_type,voting_machine,dre_paper_trail,mail_vote
100100000,AL,Autauga County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
100300000,AL,Baldwin County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
100500000,AL,Barbour County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
100700000,AL,Bibb County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
100900000,AL,Blount County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
101100000,AL,Bullock County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
101300000,AL,Butler County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
101500000,AL,Calhoun County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
101700000,AL,Chambers County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
101900000,AL,Cherokee County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
102100000,AL,Chilton County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
102300000,AL,Choctaw County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
102500000,AL,Clarke County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
102700000,AL,Clay County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
102900000,AL,Cleburne County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
103100000,AL,Coffee County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
103300000,AL,Colbert County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
103500000,AL,Conecuh County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
103700000,AL,Coosa County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
103900000,AL,Covington County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
104100000,AL,Crenshaw County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
104300000,AL,Cullman County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
104500000,AL,Dale County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
104700000,AL,Dallas County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
104900000,AL,DeKalb County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
105100000,AL,Elmore County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
105300000,AL,Escambia County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
105500000,AL,Etowah County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
105700000,AL,Fayette County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
105900000,AL,Franklin County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
106100000,AL,Geneva County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
106300000,AL,Greene County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
106500000,AL,Hale County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
106700000,AL,Henry County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
106900000,AL,Houston County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
107100000,AL,Jackson County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
107300000,AL,Jefferson County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
107500000,AL,Lamar County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
107700000,AL,Lauderdale County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
107900000,AL,Lawrence County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
108100000,AL,Lee County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
108300000,AL,Limestone County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
108500000,AL,Lowndes County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
108700000,AL,Macon County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
108900000,AL,Madison County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
109100000,AL,Marengo County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
109300000,AL,Marion County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
109500000,AL,Marshall County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
109700000,AL,Mobile County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
109900000,AL,Monroe County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
110100000,AL,Montgomery County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
110300000,AL,Morgan County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
110500000,AL,Perry County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
110700000,AL,Pickens County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
110900000,AL,Pike County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
111100000,AL,Randolph County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
111300000,AL,Russell County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
111500000,AL,St. Clair County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
111700000,AL,Shelby County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
111900000,AL,Sumter County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
112100000,AL,Talladega County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
112300000,AL,Tallapoosa County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
112500000,AL,Tuscaloosa County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
112700000,AL,Walker County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
112900000,AL,Washington County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
113100000,AL,Wilcox County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
113300000,AL,Winston County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
400100000,AZ,Apache County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
400300000,AZ,Cochise County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
400500000,AZ,Coconino County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
400700000,AZ,Gila County,N/A,2014 to 2016,Optical Scan,DS850,N/A,0
400900000,AZ,Graham County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
401100000,AZ,Greenlee County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
401200000,AZ,La Paz County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
401300000,AZ,Maricopa County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
401500000,AZ,Mohave County,N/A,2014 to 2016,Optical Scan,DS850,N/A,0
401700000,AZ,Navajo County,N/A,2014 to 2016,Optical Scan,DS850,N/A,0
401900000,AZ,Pima County,N/A,2014 to 2016,Optical Scan,DS850,N/A,0
402100000,AZ,Pinal County,N/A,2014 to 2016,Optical Scan,DS850,N/A,0
402300000,AZ,Santa Cruz County,N/A,2014 to 2016,Optical Scan,DS850,N/A,0
402500000,AZ,Yavapai County,N/A,2014 to 2016,Optical Scan,OpenElect OVO,N/A,0
402700000,AZ,Yuma County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
500100000,AR,Arkansas County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
500300000,AR,Ashley County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
500500000,AR,Baxter County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
500700000,AR,Benton County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
500900000,AR,Boone County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
501100000,AR,Bradley County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
501300000,AR,Calhoun County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
501500000,AR,Carroll County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
501700000,AR,Chicot County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
501900000,AR,Clark County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
502100000,AR,Clay County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
502300000,AR,Cleburne County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
502500000,AR,Cleveland County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
502700000,AR,Columbia County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
502900000,AR,Conway County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
503100000,AR,Craighead County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
503300000,AR,Crawford County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
503500000,AR,Crittenden County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
503700000,AR,Cross County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
503900000,AR,Dallas County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
504100000,AR,Desha County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
504300000,AR,Drew County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
504500000,AR,Faulkner County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
504700000,AR,Franklin County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
504900000,AR,Fulton County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
505100000,AR,Garland County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
505300000,AR,Grant County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
505500000,AR,Greene County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
505700000,AR,Hempstead County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
505900000,AR,Hot Spring County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
506100000,AR,Howard County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
506300000,AR,Independence County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
506500000,AR,Izard County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
506700000,AR,Jackson County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
506900000,AR,Jefferson County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
507100000,AR,Johnson County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
507300000,AR,Lafayette County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
507500000,AR,Lawrence County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
507700000,AR,Lee County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
507900000,AR,Lincoln County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
508100000,AR,Little River County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
508300000,AR,Logan County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
508500000,AR,Lonoke County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
508700000,AR,Madison County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
508900000,AR,Marion County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
509100000,AR,Miller County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
509300000,AR,Mississippi County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
509500000,AR,Monroe County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
509700000,AR,Montgomery County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
509900000,AR,Nevada County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
510100000,AR,Newton County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
510300000,AR,Ouachita County,N/A,2008 or earlier,DRE-Push Button,Shouptronic 1242,No,0
510500000,AR,Perry County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
510700000,AR,Phillips County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
510900000,AR,Pike County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
511100000,AR,Poinsett County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
511300000,AR,Polk County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
511500000,AR,Pope County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
511700000,AR,Prairie County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
511900000,AR,Pulaski County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
512100000,AR,Randolph County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
512300000,AR,St. Francis County,N/A,2010 to 2012,Optical Scan,Model 650,N/A,0
512500000,AR,Saline County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
512700000,AR,Scott County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
512900000,AR,Searcy County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
513100000,AR,Sebastian County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
513300000,AR,Sevier County,N/A,2008 or earlier,Optical Scan,Model 650,N/A,0
513500000,AR,Sharp County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
513700000,AR,Stone County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
513900000,AR,Union County,N/A,2008 or earlier,DRE-Push Button,Shouptronic 1242,No,0
514100000,AR,Van Buren County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
514300000,AR,Washington County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
514500000,AR,White County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
514700000,AR,Woodruff County,N/A,2008 or earlier,DRE-Touchscreen,iVotronic,Yes,0
514900000,AR,Yell County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
600100000,CA,Alameda County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
600300000,CA,Alpine County,N/A,2010 to 2012,Optical Scan,AccuVote OS CC,N/A,1
600500000,CA,Amador County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
600700000,CA,Butte County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
600900000,CA,Calaveras County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
601100000,CA,Colusa County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
601300000,CA,Contra Costa County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
601500000,CA,Del Norte County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
601700000,CA,El Dorado County,N/A,2014 to 2016,Optical Scan,AccuVote OS CC,N/A,0
601900000,CA,Fresno County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
602100000,CA,Glenn County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
602300000,CA,Humboldt County,N/A,2010 to 2012,Optical Scan,eScan,N/A,0
602500000,CA,Imperial County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
602700000,CA,Inyo County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
602900000,CA,Kern County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
603100000,CA,Kings County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
603300000,CA,Lake County,N/A,2008 or earlier,Optical Scan,Mark A Vote,N/A,0
603500000,CA,Lassen County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
603700000,CA,Los Angeles County,N/A,2008 or earlier,Optical Scan,InkaVote,N/A,0
603900000,CA,Madera County,N/A,2008 or earlier,Optical Scan,Mark A Vote,N/A,0
604100000,CA,Marin County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
604300000,CA,Mariposa County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
604500000,CA,Mendocino County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
604700000,CA,Merced County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
604900000,CA,Modoc County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
605100000,CA,Mono County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
605300000,CA,Monterey County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
605500000,CA,Napa County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
605700000,CA,Nevada County,N/A,2008 or earlier,Optical Scan,eScan,N/A,0
605900000,CA,Orange County,N/A,2008 or earlier,DRE-Dial,eSlate,Yes,0
606100000,CA,Placer County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
606300000,CA,Plumas County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
606500000,CA,Riverside County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
606700000,CA,Sacramento County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
606900000,CA,San Benito County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
607100000,CA,San Bernardino County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
607300000,CA,San Diego County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
607500000,CA,San Francisco County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
607700000,CA,San Joaquin County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
607900000,CA,San Luis Obispo County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
608100000,CA,San Mateo County,N/A,2008 or earlier,DRE-Dial,eSlate,Yes,0
608300000,CA,Santa Barbara County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
608500000,CA,Santa Clara County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
608700000,CA,Santa Cruz County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
608900000,CA,Shasta County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
609100000,CA,Sierra County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,1
609300000,CA,Siskiyou County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
609500000,CA,Solano County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
609700000,CA,Sonoma County,N/A,2008 or earlier,Optical Scan,Mark A Vote,N/A,0
609900000,CA,Stanislaus County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
610100000,CA,Sutter County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
610300000,CA,Tehama County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
610500000,CA,Trinity County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
610700000,CA,Tulare County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
610900000,CA,Tuolumne County,N/A,2008 or earlier,Optical Scan,Model 100,N/A,0
611100000,CA,Ventura County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
611300000,CA,Yolo County,N/A,2008 or earlier,Optical Scan,Ballot Now,N/A,0
611500000,CA,Yuba County,N/A,2008 or earlier,Optical Scan,Optech IV-C,N/A,0
800100000,CO,Adams County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
800300000,CO,Alamosa County,N/A,2014 to 2016,Optical Scan,Model 100,N/A,1
800500000,CO,Arapahoe County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
800700000,CO,Archuleta County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,1
800900000,CO,Baca County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
801100000,CO,Bent County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
801300000,CO,Boulder County,N/A,2008 or earlier,Optical Scan,Ballot Now,N/A,1
801400000,CO,Broomfield County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
801500000,CO,Chaffee County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
801700000,CO,Cheyenne County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
801900000,CO,Clear Creek County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
802100000,CO,Conejos County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
802300000,CO,Costilla County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
802500000,CO,Crowley County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
802700000,CO,Custer County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
802900000,CO,Delta County,N/A,2008 or earlier,Optical Scan,Ballot Now,N/A,1
803100000,CO,Denver County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
803300000,CO,Dolores County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
803500000,CO,Douglas County,N/A,2008 or earlier,Optical Scan,Ballot Now,N/A,1
803700000,CO,Eagle County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
803900000,CO,Elbert County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,1
804100000,CO,El Paso County,N/A,2010 to 2012,Optical Scan,AccuVote OS CC,N/A,1
804300000,CO,Fremont County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
804500000,CO,Garfield County,N/A,2010 to 2012,Optical Scan,Ballot Now,N/A,1
804700000,CO,Gilpin County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
804900000,CO,Grand County,N/A,2010 to 2012,Optical Scan,Ballot Now,N/A,1
805100000,CO,Gunnison County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
805300000,CO,Hinsdale County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
805500000,CO,Huerfano County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,1
805900000,CO,Jefferson County,N/A,2014 to 2016,Optical Scan,DS850,N/A,1
806100000,CO,Kiowa County,N/A,2014 to 2016,Optical Scan,eScan,N/A,1
806300000,CO,Kit Carson County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
806500000,CO,Lake County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
806700000,CO,La Plata County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,1
806900000,CO,Larimer County,N/A,2008 or earlier,Optical Scan,AccuVote OS CC,N/A,1
807100000,CO,Las Animas County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
807300000,CO,Lincoln County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
807500000,CO,Logan County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
807700000,CO,Mesa County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
807900000,CO,Mineral County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,1
808100000,CO,Moffat County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
808300000,CO,Montezuma County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,1
808500000,CO,Montrose County,N/A,2008 or earlier,Optical Scan,Ballot Now,N/A,1
808700000,CO,Morgan County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
808900000,CO,Otero County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
809100000,CO,Ouray County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
809300000,CO,Park County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
809500000,CO,Phillips County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
809700000,CO,Pitkin County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
809900000,CO,Prowers County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
810100000,CO,Pueblo County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
810300000,CO,Rio Blanco County,N/A,2010 to 2012,Optical Scan,Ballot Now,N/A,1
810500000,CO,Rio Grande County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
810700000,CO,Routt County,N/A,2008 or earlier,Optical Scan,Ballot Now,N/A,1
810900000,CO,Saguache County,N/A,2014 to 2016,Optical Scan,Model 100,N/A,1
811100000,CO,San Juan County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
811300000,CO,San Miguel County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
811500000,CO,Sedgwick County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
811700000,CO,Summit County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
811900000,CO,Teller County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
812100000,CO,Washington County,N/A,2014 to 2016,Optical Scan,ImageCast Central,N/A,1
812300000,CO,Weld County,N/A,2008 or earlier,Optical Scan,AccuVote OS CC,N/A,1
812500000,CO,Yuma County,N/A,2008 or earlier,Optical Scan,eScan,N/A,1
1000100000,DE,Kent County,N/A,2008 or earlier,DRE-Push Button,Shouptronic 1242,No,0
1000300000,DE,New Castle County,N/A,2008 or earlier,DRE-Push Button,Shouptronic 1242,No,0
1000500000,DE,Sussex County,N/A,2008 or earlier,DRE-Push Button,Shouptronic 1242,No,0
1100100000,DC,District of Columbia,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1200100000,FL,Alachua County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
1200300000,FL,Baker County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
1200500000,FL,Bay County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1200700000,FL,Bradford County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1200900000,FL,Brevard County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1201100000,FL,Broward County,N/A,2008 or earlier,Optical Scan,DS200,N/A,0
1201300000,FL,Calhoun County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1201500000,FL,Charlotte County,N/A,2008 or earlier,Optical Scan,DS200,N/A,0
1201700000,FL,Citrus County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1201900000,FL,Clay County,N/A,2010 to 2012,Optical Scan,DS200,N/A,0
1202100000,FL,Collier County,N/A,2008 or earlier,Optical Scan,DS200,N/A,0
1202300000,FL,Columbia County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1202700000,FL,DeSoto County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1202900000,FL,Dixie County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1203100000,FL,Duval County,N/A,2010 to 2012,Optical Scan,DS200,N/A,0
1203300000,FL,Escambia County,N/A,2008 or earlier,Optical Scan,DS200,N/A,0
1203500000,FL,Flagler County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1203700000,FL,Franklin County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1203900000,FL,Gadsden County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1204100000,FL,Gilchrist County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1204300000,FL,Glades County,N/A,2008 or earlier,Optical Scan,AccuVote OS,N/A,0
1204500000,FL,Gulf County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1204700000,FL,Hamilton County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1204900000,FL,Hardee County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
1205100000,FL,Hendry County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1205300000,FL,Hernando County,N/A,2014 to 2016,Optical Scan,ImageCast Precinct,N/A,0
1205500000,FL,Highlands County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1205700000,FL,Hillsborough County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1205900000,FL,Holmes County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
1206100000,FL,Indian River County,N/A,2008 or earlier,Optical Scan,Optech Insight,N/A,0
1206300000,FL,Jackson County,N/A,2014 to 2016,Optical Scan,DS200,N/A,0
